,,,,,, ,,Language,Q1_0,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q9,Q10,Q10_other,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q13,Q13_other,Q14,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q16_12,Q16_13,Q16_14,Q16_15,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q19,Q20,Q21,Q22,Q23,Q24,Q24_other,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q25_11,Q25_12,Q25_13,Q25_14,Q25_15,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q26_9,Q26_10,Q26_11,Q26_12,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q27_10,Q27_11,Q28,Q29,Q30_0,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_9,Q30_10,Q30_11,Q30_12,Q30_13,Q30_14,Q30_15,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q31_7,Q31_8,Q31_9,Q31_10,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q32_7,Q32_8,Q32_9,Q32_10,Q32_11,Q33_1,Q33_2,Q33_3,Q33_4,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q37,Q38_1,Q38_2,Q38_3,Q39,Q40_0,Q40_1,Q40_2,Q40_3,Q40_4,Q41,Q43,Q44,Q45,Q46,Q47,Q48,Q48_other,Q49_0,Q49_1,Q49_2,Q49_3,Q49_4,Q49_5,Q50_0,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q51,Q52_1,Q52_2,Q52_3,Q52_4,Q52_5,Q52_6,Q52_7,Q52_8,Q52_9,Q52_10,Q52_11,Q52_12,Q52_13,Q52_14,Q52_15,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,Q53_6,Q53_7,Q53_8,Q53_9,Q53_10,Q53_11,Q53_12,Q53_13,Q53_14,Q53_15,Q54,Q55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,14:43,118077278726,446360289,2022-07-13 11:44:43,2022-07-13 11:59:26,,0,en,,1,2,,,,,5,7,2,4,4,3,1,1,2,2,2,2,2,2,2,2,,,,,,,,,8,,,11,,,4,2,,4,5,6,6,6,1,,9,,3,2,,2,,,,,,,,,11,,,,,,,,,,,,,,,,12,,14,,1,,,,5,,,,,,11,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,2,6,6,2,6,2,6,6,6,6,6,2,6,2,2,2,2,6,6,3,3,3,,0,,,,,1,2,2,5,1,5,10,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,2,3,4,5,6,7,8,9,,,12,,14,,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,15:50,118077256844,446360289,2022-07-13 11:29:38,2022-07-13 11:45:28,,0,en,,1,,,,,,5,2,2,4,5,2,2,2,3,2,1,3,3,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suspicious of open source. Would rather purchase software like SolarWinds rather than use Nagios.,1,,,,,,4,5,,,,,,,,,14,,,,,,,,,,,,4,6,2,4,4,2,6,3,3,6,6,2,2,3,3,5,5,5,5,5,4,2,2,2,,0,,,,,3,8,6,7,7,5,10,,,,,,,5,0,,,,,,0,,,,,,,,,,,,,,,,,,,4,5,,,,,,,12,13,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,13:40,118077257953,446360289,2022-07-13 11:30:38,2022-07-13 11:44:18,,0,en,,1,,,,,,3,2,1,4,4,1,1,1,1,2,2,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,9,,,1,As a better foundation for the applications developped. ,,1,,,,,6,,,,,,,,,"Better operability, also better control over technical constrains",,,,,,,,,,,2,6,1,5,5,1,3,3,4,6,3,1,6,2,4,5,2,4,6,3,3,1,1,1,,0,,,,,2,1,1,4,2,4,10,,,,,,,5,,,,3,,,2,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,14,,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,43:25,118077242450,446360289,2022-07-13 10:50:47,2022-07-13 11:34:12,1,2,en,,1,2,3,4,5,,7,1,4,4,4,4,4,4,4,1,1,1,1,1,1,1,3,1,2,3,4,5,6,7,,9,10,11,,,5,4,,2,6,6,6,6,6,,9,,2,4,1,,,,,6,,,,10,11,12,13,,,,,3,,5,,7,8,,,11,,,,,,2,,,,,,,9,10,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,3,4,5,2,6,4,4,6,6,2,6,2,4,5,4,3,6,3,2,1,1,1,,0,,,,,1,8,5,3,5,5,4,,,1,,3,,,,1,,3,,,0,,,,,,,,,,,,,,,,1,,3,4,5,6,7,8,,,11,12,13,14,,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,53:29,118077164947,446360289,2022-07-13 08:37:20,2022-07-13 11:30:49,,0,en,,1,2,3,4,5,,2,7,2,4,2,3,1,3,4,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,Lead Designer/ Product manager,,,,,,6,7,,,10,,12,13,,More design and UX in FLOSS generally,1,,,,,,7,,,,,Funding for staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,3,3,3,2,6,2,3,6,2,6,6,3,2,3,3,2,6,3,1,3,1,1,,0,,,,,3,2,1,5,5,5,1,,,,,,4,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,14,Design,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,17:30,118077243909,446360289,2022-07-13 11:04:24,2022-07-13 11:21:54,,0,en,,1,2,3,,,,1,3,4,4,4,4,4,2,2,1,1,1,1,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,,1,,,,5,,,,,,,12,,,,,,3,,,,,8,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,3,2,2,1,1,2,1,3,3,3,1,1,1,1,1,,,1,2,,4,2,2,2,3,2,1,4,,,1,,3,,,,,,3,4,,3,,,,,,,,,,,,,,,,,2,,4,,,,,,,,,,14,,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,04:56,118077221743,446360289,2022-07-13 10:47:42,2022-07-13 10:52:38,,0,en,,1,,,,,,3,1,1,4,3,1,1,1,1,1,3,3,3,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,7,,9,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,5,4,9,,,,,,,5,,1,,3,,,1,,2,,,,,,,,,,,1,2,,,,,,,6,,,,,,,,14,,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,11:01,118077211272,446321998,2022-07-13 10:35:20,2022-07-13 10:46:21,,0,zh-tw,,1,2,3,4,5,,7,1,4,4,5,4,4,4,4,1,1,1,1,1,3,1,3,,,3,,,6,,,,10,,,,5,4,,4,2,2,6,1,1,,6,,1,4,,,,,,6,,,,,,12,13,,,,,3,4,,,,,,,11,12,,,,,2,,,5,,,,,,11,2,1,We used to open source internal projects and greatly increase the impact of the industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,3,1,6,6,2,2,6,2,1,3,6,2,3,6,2,3,2,1,1,1,,,1,2,3,,1,6,5,5,7,5,4,,,1,,,4,,,,,3,4,,4,,,,,,,,,,,,,,,,,2,,,,6,,,,10,,12,,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,09:56,118077205938,446360289,2022-07-13 10:28:32,2022-07-13 10:38:28,,0,en,,1,2,,4,5,,5,3,3,4,1,3,4,3,4,2,2,2,2,2,2,1,,1,2,,4,5,,,,,,11,,,3,0,Office of the Vice President for Research,3,1,1,1,1,2,,1,,2,1,,,,,,6,,,,10,,12,,,,,,,4,,,,,9,,,,,,,,2,,,5,,,,,,,3,1,Support of faculty who want to build community around their projects Alpha version of academic metrics tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,2,2,6,1,6,2,1,6,2,6,6,6,6,2,3,4,6,2,6,3,3,3,,0,,,,,1,2,2,7,7,4,0,Generally OSI approved Licenses,,,,,4,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,14,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,05:40,118077209024,446360289,2022-07-13 10:32:32,2022-07-13 10:38:12,,0,en,,1,2,,,,,1,5,2,4,4,1,1,2,1,2,1,1,1,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,only me,2,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,2,1,1,2,1,2,2,1,1,3,1,1,1,1,1,1,1,1,1,5,2,2,2,,,1,,,,1,1,1,6,1,4,6,,0,,,,,,,,,,,5,1,1,,,1,,,1,,,,,,,,,1,,,4,5,,7,8,,,11,12,13,14,,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,05:49,118077205953,446360289,2022-07-13 10:28:35,2022-07-13 10:34:24,,0,en,,1,2,,4,,,7,7,2,4,4,2,1,2,1,1,2,1,1,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,,1,2,3,,,,,8,,,,12,13,14,,,2,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,3,2,1,6,6,6,6,2,6,6,6,6,6,6,6,6,6,5,2,2,2,,,1,,,,1,3,2,4,5,4,4,,,1,,3,,,,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,7,8,9,,,,,,,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,04:45,118077203609,446360289,2022-07-13 10:25:35,2022-07-13 10:30:20,,0,en,,,2,3,,5,,7,1,3,3,3,3,3,3,3,1,1,1,1,1,1,2,2,,,,,,,,8,,,11,,,5,3,,2,2,3,6,1,1,,2,,3,3,,2,3,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,2,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,2,2,,,,2,,,1,8,6,7,7,1,10,,,,2,,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,10:01,118077199542,446360289,2022-07-13 10:20:18,2022-07-13 10:30:19,,0,en,,1,2,,,,,2,1,3,4,4,1,1,1,1,2,2,1,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,5,4,9,,,,,,,5,,,,3,,,1,,2,,,,,,2,,1,,,,,3,,,,,,,,,,,,,,,Any Node.JS Library we are using that has a bug or is missing a feature,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,02:09,118077203874,446360289,2022-07-13 10:25:43,2022-07-13 10:27:52,,0,en,,,,,,5,,1,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,06:34,118077198439,446360289,2022-07-13 10:18:55,2022-07-13 10:25:29,,0,en,,,,,4,5,,3,1,2,4,4,1,2,3,1,1,1,1,1,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,9,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,5,5,10,,,,,,4,,,,,,4,,0,,,,,,,,,,,,,,,,,,,4,,,,,,,,12,,14,,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,03:04,118077198044,446360289,2022-07-13 10:18:26,2022-07-13 10:21:30,,0,en,,1,,,,,,4,1,2,4,4,1,1,1,1,1,1,2,1,2,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,9,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,5,4,9,,,,,,4,,,,,3,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,01:45,118077199129,446360289,2022-07-13 10:19:44,2022-07-13 10:21:29,,0,en,,1,2,3,4,5,,7,1,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,03:01,118077188361,446360289,2022-07-13 10:06:10,2022-07-13 10:09:11,,0,en,,1,,,,,,4,1,2,4,4,1,1,1,3,1,1,3,3,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,24:43,118077166567,446481491,2022-07-13 09:37:21,2022-07-13 10:02:04,,0,en,,,,,,5,,7,1,4,3,4,2,3,3,3,1,1,1,1,1,3,2,3,,2,3,,5,6,7,8,9,10,11,12,,5,6,,2,2,2,4,4,3,,2,,2,3,,,3,,,6,,8,9,10,,12,,14,,1,,,,,,,,9,10,11,,,14,,,2,,4,5,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,6,3,3,3,3,3,3,3,2,6,2,2,6,6,6,6,6,6,3,3,3,3,,,,2,,,1,8,6,7,5,1,4,,,1,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,14,,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,05:06,118077164642,446360289,2022-07-13 09:34:27,2022-07-13 09:39:33,,0,en,,1,,,,,,2,4,1,4,4,1,1,1,1,1,1,2,2,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,7,,9,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,7,4,9,,,1,,,4,,,,,,4,,0,,,,,,,,,,,,,,,,,,3,4,5,6,,,,,11,12,13,14,,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,17:29,118077151247,446360289,2022-07-13 09:17:59,2022-07-13 09:35:28,,0,en,,1,,,4,5,,2,7,5,4,5,5,3,3,2,3,2,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,7,,,2,,,5,6,7,,9,,11,12,,14,,,,,,,,7,,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,3,2,4,4,4,3,4,4,3,4,4,4,5,4,5,5,4,2,2,2,,,,2,,,2,2,3,4,4,5,10,,,,,,4,,,1,2,3,,,0,,,,,,,,,,,,,,,,,,3,4,5,6,,,,,11,,13,14,,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,14:04,118077119453,446360289,2022-07-13 08:23:05,2022-07-13 08:37:09,,0,en,,1,,,,,,1,1,4,4,4,4,4,4,2,1,1,1,1,1,1,1,3,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,,1,5,4,2,5,5,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,11:34,118077114956,446321998,2022-07-13 08:22:17,2022-07-13 08:33:51,1,1,ja,,1,2,3,,5,,7,1,4,4,3,1,1,1,3,1,3,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,9,10,,1,,,,2,,,,6,,,,,,,13,,,,,,,,,,,,,1,1,2,2,2,1,3,2,3,3,2,2,3,2,5,2,3,4,4,3,2,2,2,2,,0,,,,,1,3,2,5,3,5,9,,,1,,,4,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,17:47,118077111485,446360289,2022-07-13 08:16:04,2022-07-13 08:33:51,,0,en,,,,,4,,,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,,,,,5,,,,,,,,,2,2,,1,1,1,1,1,1,,1,,1,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,Finding bugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,1,2,2,3,1,1,4,,,1,,,,,,1,,,,,2,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,47:57,118077057776,446360289,2022-07-13 06:35:06,2022-07-13 08:23:03,,0,en,,,2,,,,,4,4,2,4,3,1,2,2,3,1,1,2,1,2,3,2,3,,2,,4,5,,,,,,,,,1,2,,3,6,6,6,6,6,,9,,3,3,1,,,,,,,,,,,12,13,,,1,,,,,,,8,9,,,,,14,,,2,,,,,7,,,,11,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,3,5,1,6,6,2,6,6,6,6,6,6,2,3,6,6,2,5,1,1,1,,0,,,,,1,3,4,3,5,4,4,,,1,2,,,,,1,2,3,,,1,,,,,,,,,,,,,,,,,,3,,5,6,,,,,,,13,14,,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,22:06,118077079870,446360289,2022-07-13 06:56:23,2022-07-13 08:18:29,,0,en,,1,2,3,4,5,,7,1,4,5,4,4,4,4,4,1,1,1,1,1,1,1,3,1,2,3,4,5,6,7,,9,10,11,,,5,4,,2,2,1,2,3,4,,7,,1,3,1,2,3,4,,6,,8,,10,11,12,13,14,,1,2,3,,5,6,,,9,,11,12,,14,,1,,3,,,,,8,,,,2,1,* Engineers learned to contribute back instead of forking projects * Legal and security issues are highly reduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,6,3,6,2,6,2,6,6,3,6,6,2,6,5,6,6,6,6,1,3,3,3,,,1,2,3,4,1,8,6,5,5,5,3,,,1,2,3,,,,1,2,3,,,5,,,,,,,,,,,,,,,,1,,3,,5,6,,,,,11,,,14,,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,09:33,118077093588,446360289,2022-07-13 07:43:57,2022-07-13 07:53:30,,0,en,,1,2,,,,,5,1,2,2,4,1,1,1,1,2,2,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,,,,,,,,,,,,,12,13,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,1,2,2,6,1,4,6,6,6,6,6,6,3,2,6,6,6,5,2,1,2,,0,,,,,1,2,2,2,4,4,1,,,,2,,,,,,,3,,,5,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,01:46,118077096548,446360289,2022-07-13 07:49:01,2022-07-13 07:50:47,,0,en,,,2,3,,5,,1,1,3,4,4,3,4,4,2,1,2,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,11:40,118077072923,446360289,2022-07-13 05:36:27,2022-07-13 07:48:07,,0,en,,1,2,,,,,2,4,2,4,4,2,2,1,1,1,1,1,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,,,,4,,,7,8,9,10,,,,,,,2,,,,,7,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,3,3,1,3,1,1,4,2,3,2,3,3,1,3,4,4,3,3,2,1,2,,,,2,,4,1,1,1,7,7,1,1,,,1,2,,,,,,2,3,,,4,1,,,1,,,1,,,1,,,,2,,1,2,3,4,5,6,,,,,,,,14,,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
