Survey Name:,,,2024 OSPO Survey,
,,3,Europe,
,,4,"Asia-Pacific (except Chian, India, Japan)",
,,5,China,
,,6,India,
,,7,Japan,
,,8,Middle East or Africa,
,,9,Rest of World,
,,0,Don't know or not sure,
,,,,
2,6,,Which response best describes the organization you work for? (select one),
,,1,“End user” organization that primarily uses IT products/services to support its business activities,
,,2,Hardware and/or software vendor,
,,3,Hardware and/or software supplier,
,,4,Embedded systems vendor,
,,5,System integrator or IT consulting firm,
,,6,Cloud service provider or managed service provider,
,,7,Software reseller or distributor,
,,8,Non-profit association or foundation,
,,9,Academic or research institution,
,,10,Government entity or agency,
,,0/Text,Other entity (please specify),
,,,,
3,,,Tell us more about your organization's open source usage and policies,
,,,,
3,7,,"How often does your organization do the following activities? (select one response per row)
[Column headings: Never, Rarely, Sometimes, Frequently, Always, DKNS]",
,,1,Contribute code upstream,
,,2,Use open source code for noncommercial or internal reasons,
,,3,Use open source code in commercial products,
,,4,Recruit and hire developers to work on open source projects,
,,5,Train developers to contribute to open source projects,
,,6,Create its own open source projects,
,,7,Attend and speak at open source events or conferences,
,,,,
3,8,,"How often does your organization follow a formal policy governing use and/or contribution to open source projects in the following areas? (select one response per row)
[Column headings: Never, Rarely, Sometimes, Frequently, Always, DKNS]",
,,1,Using open source code in products (dependencies),
,,2,Allowing staff to contribute to non-work-related open source projects in their personal time,
,,3,Releasing open source code or projects,
,,4,Contributing upstream to open source projects,
,,5,"Sponsoring open source projects, events, or foundations",
,,6,Contributing to third-party and other projects not considered to be upstream,
,,,,
3,9,,Which of the following best describes your organization's formal policy on contributing to upstream open source projects? (select one),
,,1,Contributions are not permitted,
,,2,Contribute if it is required by the open source license,
,,3,Contribution is openly encouraged,
,,0,Don’t know or not sure,
,,,,
3,10,,How many open source projects does your organization maintain? (select one),
,,1,0,
,,2,1 to 5,
,,3,6 to 10,
,,4,11 to 50,
,,5,51 to 100,
,,6,"101 to 1,000",
,,7,"More than 1,000",
,,0,Don't know or not sure,
,,,,
3,11,,How many developers (full time or part time) in your organization contribute to open source projects you depend on? (select one),
,,1,0,
,,2,1 to 5,
,,3,6 to 10,
,,4,11 to 100,
,,5,More than 100,
,,0,Don't know or not sure,
,,,,
,Text,,"An Open Source Program Office (OSPO) is a center of expertise, either virtual or physical, whose people support, nurture, share, explain, and promote the growth of open source within an organization.",
,,,,
3,12,,Does your organization have an OSPO or similar open source initiative? (select one),
,,1,"Yes, and it is formally structured with dedicated person-hours, reporting structure and / or job titles",
,,2,"Yes, and it is informally structured, part time, and / or virtual",
,,3,"No, but we are planning one",
,,4,No,
,,0,Don't know or not sure,DQ
,,,,
4,,,Tell us about the open source program or initiative and its structure,Show P4 if q12r1 or q12r2
,,,,
4,13,,"Where is the OSPO or similar open source initiative located within the organization? If the effort is informal, answer based on who the primary organizers report to. (select one) ",
,,1,Legal,
,,2,Software engineering and development,
,,3,IT or computing services,
,,4,Office of the CTO or CIO,
,,5,"Developer relations, marketing, or communications",
,,6,"Security, compliance, or risk management",
,,7,Faculty committee,
,,8,Technology transfer / licensing office,
,,Text,Other (please specify),
,,0,Don't know or not sure,
,,,,
4,14,,"Does your OSPO or similar open source initiative have an InnerSource team or strategy, or implement principles to drive open source culture within the organization? (select one)",
,,1,"Yes, and we are the only stakeholder for the strategy",
,,2,"Yes, and the strategy has multiple stakeholders",
,,3,No,
,,0,Don't know or not sure,
,,,,
4,15,,How long ago was the OSPO or similar open source initiative established? (select one),
,,1,0 to 2 years,
,,2,3 to 5 years,
,,3,6 to 10 years,
,,4,More than 10 years,
,,0,Don't know or not sure,
,,,,
4,16,,Does your OSPO or similar open source initiative directly address open source security issues? (select one),
,,1,"Yes, the OSPO makes decisions on how the organization's workforce can identify security risks in open source projects and how to help build more secure software in those projects (internal education, guidelines, best practices, policies, etc.)",
,,2,"No, but the OSPO provides advice to the team unit / department that is in charge",
,,3,"No, we don't focus on open source security.",
,,0,Don’t know or not sure,
,,,,
5,,,Tell us about the open source program or initiative and its structure,Show P5 if q12r1 or q12r2
,,,,
5,17,Textbox,How does your OSPO or similar open source initiative directly address security issues?,Show q17 if q16r1
,,,,
5,18,Textbox,What kind of security advice does your OSPO or similar open source initiative give?,Show q18 if q16r2
,,,,
5,19,,How effective is your OSPO open source compliance at proactively managing Gen AI risks today? (select one),
,,1,Extremely ineffective,
,,2,Very ineffective,
,,3,Effective,
,,4,Very effective,
,,5,Extremely effective,
,,0,Don’t know or not sure,
,,,,
5,20,,To what extent are OSPOs involved in the development and management of AI infrastructure within their organizations? (select one),
,,1,No role in the development or management of AI infrastructure,
,,2,Occasionally involved in the processes of licensing compliance and security checks,
,,3,Regularly consulted for their expertise in open source,
,,4,Lead the development and management of AI infrastructure,
,,0,Don't know or not sure,
,,,,
5,21,,"What are the top responsibilities of your OSPO or similar open source initiative? (select up to three that mostly apply)
",rotate
,,1,Advise on open source best practices,
,,2,Collaborate with open source organizations and communities,
,,3,Develop and execute open source strategy,
,,4,Eliminate friction from using and contributing to open source,
,,5,Establish and improve open source policies and processess,
,,6,Grow and retain open source talent inside the organization,
,,7,Implement InnerSource practices and foster open source culture,
,,8,Manage open source IT infrastructure,
,,9,Oversee open source license compliance,
,,10,Prioritize and drive open source upstream development,
,,11,Support the organization's development activities,
,,12,Track performance metrics,
,,Text,Other (please explain),
,,,,
6,,,Tell us about the open source program or initiative and its structure,Show P6 if q12r1 or q12r2
,,,,
,,,,
6,22,,"How effective are the following practices for your OSPO or similar initiative in advising on open source best practices? (select one response per row)
[Column headings: Extremely ineffective, Very ineffective, Effective, Very effective, Extremely effective, DKNS]","Show q22 if q21r1
rotate"
,,1,Establish processes to ensure open source policies are followed,
,,2,Develop guidelines and policies for contributing to open source projects,
,,3,Promote the benefits of open source internally to get buy-in from key stakeholders,
,,Text,Other (please specify),
,,,,
6,23,,"How effective are the following practices for your OSPO or similar initiative in collaborating with open source organizations? (select one response per row)
[Column headings: Extremely ineffective, Very ineffective, Effective, Very effective, Extremely effective, DKNS]","Show q23 if q21r2
rotate"
,,1,Engage with advisory boards to participate in the governance of open source projects,
,,2,Make financial contributions to OSS projects or foundations to help sustain the projects,
,,3,"Offer assistance in areas such as legal advice or compliance, especially around licensing issues",
,,4,Provide OSS projects with access to infrastructure for development and testing,
,,5,Run mentorship programs for newcomers in the open source communities,
,,6,Test and provide feedback on open source products,
,,Text,Other (please specify),
,,,,
6,24,,"How effective are the following practices for your OSPO or similar initiative in developing and executing an open source strategy? (select one response per row)
[Column headings: Extremely ineffective, Very ineffective, Effective, Very effective, Extremely effective, DKNS]","Show q24 if q21r3
rotate"
,,1,Run security audits and vulnerability assessments on the open source projects,
,,2,"Establish the governance framework to use, contribute or manage open source projects",
,,3,Assess if the OSPO has adequate resources—both financial and human—to support open source projects,
,,4,"Nurture partnerships that can provide additional open source expertise, resources, or collaboration opportunities",
,,5,Create OSPO reports that are open to internal stakeholders and open source communities,
,,Text,Other (please specify),
,,,,
6,25,,"How effective are the following practices for your OSPO or similar initiative in eliminating friction from using and contributing to open source? (select one response per row)
[Column headings: Extremely ineffective, Very ineffective, Effective, Very effective, Extremely effective, DKNS]","Show q25 if q21r4
rotate"
,,1,Train employees on contribution guidelines and licensing,
,,2,Enforce code of conduct,
,,3,Engage in mailing lists of open source projects to guarantee that newcomers are assisted,
,,4,Publicly acknowledge and reward contributors,
,,5,Maintain regular communication with the community about ongoing projects,
,,6,Adopt transparent decision-making processes,
,,7,Audit code reviews to ensure timely feedbacks to questions or comments,
,,Text,Other (please specify),
,,,,
6,26,,"How effective are the following practices for your OSPO or similar initiative in establishing and improving open source policies and processes? (select one response per row)
[Column headings: Extremely ineffective, Very ineffective, Effective, Very effective, Extremely effective, DKNS]","Show q26 if q21r5
rotate"
,,1,Establish procedures for releasing internal software as open source,
,,2,Audit processes to ensure that all open source tools comply with their licenses,
,,3,"Train employees about open source policies, licensing changes, and engagement best practices",
,,4,Measure KPIs to assess the effectiveness of open source activities,
,,Text,Other (please specify),
,,,,
6,27,,"How effective are the following practices for your OSPO or similar initiative to grow and retain open source talent inside the organization? (select one response per row)
[Column headings: Extremely ineffective, Very ineffective, Effective, Very effective, Extremely effective, DKNS]","Show q27 if q21r6
rotate"
,,1,Encourage contributions during work hours,
,,2,Establish mentorship programs to guide newcomers,
,,3,Implement recognition programs with incentives for contributions,
,,4,Support employees' participation in open source conferences,
,,5,Offer training sessions on open source development practices,
,,6,Create internal communities or interest groups focused on open source,
,,7,Set clear goals and metrics for open source contributions,
,,Text,Other (please specify),
,,,,
6,28,,"How effective are the following practices for your OSPO or similar initiative to implement InnerSource practices and foster open source culture? (select one response per row)
[Column headings: Extremely ineffective, Very ineffective, Effective, Very effective, Extremely effective, DKNS]","Show q28 if q21r7
rotate"
,,1,Encourage cross-team collaboration and knowledge sharing,
,,2,Promote reusable code and components,
,,3,Recognize contributions based on merit,
,,Text,Other (please specify),
,,,,
6,29,,"How effective are the following practices for your OSPO or similar initiative in managing open source IT infrastructure? (select one response per row)
[Column headings: Extremely ineffective, Very ineffective, Effective, Very effective, Extremely effective, DKNS]","Show q29 if q21r8
rotate"
,,1,Adopt virtualization and containerization technologies,
,,2,"Implement a network architecture that ensures connectivity, performance, and redundancy",
,,3,"Review security protocols, including firewalls, intrusion detection systems, and regular security updates",
,,4,"Employ monitoring tools to track system performance, availability, and health metrics",
,,5,Use configuration management and CI/CD tools,
,,6,Conduct regular audits on licenses and regulatory requirements,
,,Text,Other (please specify),
,,,,
6,30,,"How effective are the following practices for your OSPO or similar initiative in managing open source compliance? (select one response per row)
[Column headings: Extremely ineffective, Very ineffective, Effective, Very effective, Extremely effective, DKNS]","Show q30 if q21r9
rotate"
,,2,"Automate the identification, tracking, and reporting of open source components and licenses",
,,3,Implement a license management system,
,,4,Conduct regular compliance audits,
,,5,Create a formal process for the review and approval of new open source components,
,,6,Work closely with legal and security teams,
,,7,Participate in open source communities to stay informed about licensing changes,
,,Text,Other (please specify),
,,,,
6,31,,"How effective are the following practices for your OSPO or similar initiative in prioritizing and driving open source upstream development? (select one response per row)
[Column headings: Extremely ineffective, Very ineffective, Effective, Very effective, Extremely effective, DKNS]","Show q31 if q21r10
rotate"
,,1,Dedicate employees for contributing to upstream projects,
,,2,Encourage all employees to contribute to upstream projects during work time,
,,3,Build and maintain relationships with core contributors of key upstream projects,
,,4,"Engage in discussions on mailing lists, forums, and chat channels related to upstream projects",
,,5,Sponsor events such as hackathons to support and promote upstream development,
,,6,Create guides on how to contribute to upstream projects,
,,7,Offer legal and compliance support to ensure that contributions meet licensing requirements,
,,8,Provide infrastructure and support for employees to set up environment to contribute,
,,Text,Other (please specify),
,,,,
6,32,,"How effective are the following practices for your OSPO or similar initiative in supporting the organization's development activities? (select one response per row)
[Column headings: Extremely ineffective, Very ineffective, Effective, Very effective, Extremely effective, DKNS]","Show q32 if q21r11
rotate"
,,1,Assist in evaluating open source tools and libraries that can meet project requirements.,
,,2,Conduct risk assessments for using open source components.,
,,3,Promote the use of open source architectural frameworks and design patterns.,
,,4,Advocate for the adoption of open standards,
,,5,"Provide and manage access to version control systems (e.g., GitHub, GitLab).",
,,6,"Establish a process for peer code reviews, leveraging open source best practices.",
,,7,"Recommend and support open source IDEs (e.g., VS Code, Eclipse).",
,,8,"Provide access to and support for open source testing frameworks (e.g., JUnit, Selenium).",
,,9,Set up continuous integration/continuous deployment (CI/CD) pipelines using open source tools,
,,Text,Other (please specify),
,,,,
6,33,,"How often does your OSPO or similar open source initiative track the following performance metrics? (select one response per row)
[Column headings: Never, Rarely, Sometimes, Frequently, Always, DKNS]","Show q33 if q21r12
rotate"
,,1,"Number of contributions (commits, pull requests, issues reported) to open source projects",
,,2,"Usage of open source software within the organization (number of projects, instances, users)",
,,3,Number of compliance issues identified and resolved,
,,4,Percentage of open source components with approved licenses,
,,5,"Growth in the organization’s open source community presence (e.g., increased followers, collaborators, and partnerships)",
,,6,"Number of training sessions conducted, number of employees trained, number of certification completions",
,,7,Time to merge pull requests submitted to open source software that the OSPO contributes,
,,8,Release frequency of open source software that the OSPO contributes,
,,9,Number of security incidents related to open source components and their resolution,
,,Text,Other (please specify),
,,,,
7,,,Tell us about the impact of having an open source program or initiative,Show P7 if q12r1 or q12r2
,,,,
7,34,,How critical is your OSPO or similar open source initiative to achieving organizational goals? (select one),
,,1,Not at all critical,
,,2,Not so critical,
,,3,Somewhat critical,
,,4,Very critical,
,,5,Extremely critical,
,,0,Don't know or not sure,
,,,,
7,35,,"How impactful to your organization are the following benefits of having an OSPO or similar open source initiative? (select one response per row)
[Scales: Not impactful at All, Slightly Impactful, Moderately Impactful, Very Impactful, Extremely Impactful, DKNS]",rotate
,,1,Increased developer recruitment and retention,
,,2,Faster development cycle and / or time to market with new products,
,,3,Better license compliance,
,,4,Lower licensing fees,
,,5,Lower support costs,
,,6,More influence in open source communities,
,,7,Increased contributions to in-house open source projects from external or third-party contributors,
,,8,More awareness of open source use and commercial dependencies,
,,9,Increased market adoption of open source projects,
,,10,Increased participation in external open source projects,
,,11,Increased transparency of collaboration,
,,12,Increased innovation,
,,13,"Culture change, with improved interaction among departments",
,,14,Better security testing and vulnerability management,
,,15,"Better compliance with government security regulations (e.g., GDPR, CRA, AI act, U.S. Government executive order on SBOM)",
,,Text,Other (please specify),
,,,,
7,36,,"What is the impact of having an OSPO that is managing open source operations on the following goals? (select one response per row)
[Scales: Not impactful at All, Slightly impactful, Moderately impactful, Very impactful, Extremely impactful, DKNS]",rotate
,,1,More equitable access to digital public goods (DPG),
,,2,More equitable access to employment opportunities related to open source,
,,3,Increased interoperability,
,,4,Increased understanding of open source by non-developers,
,,5,Improved ability to work with open source communities,
,,Text,Other (please specify),
,,0,Don't know or not sure,
,,,,
7,37,,"How often does your open source program or initiative face the following challenges? (select one response per row)
[Scales: Never, Rarely, Sometimes, Frequently, Always, DKNS]",rotate
,,1,Finding and recruiting open source developers,
,,2,Ability to influence open source projects,
,,3,Executive awareness and support,
,,4,"Insufficient budget, program costs",
,,5,Internal awareness of the program,
,,6,External awareness (marketing and communications),
,,7,License compliance overhead,
,,8,Getting teams on board with compliance and security approaches,
,,9,Vulnerability monitoring and remediation,
,,10,Tracking metrics and performance,
,,11,Establishing contribution policies and processes,
,,12,Creating education programs,
,,13,Insufficient people to work on the program,
,,14,Limited in-house open source usage,
,,Text,Other (please specify),
,,,,
8,,,Let's talk about OSPO sustainability and open source project sustainability,Show P8 if q12r1 or q12r2
8,Text,,"For the following questions, OSPO sustainability refers to how the OSPO is maintained within the organization in the long term. Open source sustainability refers to the ability to maintain open source projects in the long term.",
,,,,
8,38,,How often does your OSPO or similar open source initiative work on practices to sustain itself (maintaining the initiative in the long term)? (select one),
,,1,Never,
,,2,Rarely,
,,3,Sometimes,
,,4,Frequently,
,,5,Always,
,,0,Don't know or not sure,
,,,,
8,39,,What practices do you follow to ensure the sustainability of your OSPO or similar open source initiative? (select all that apply),rotate
,,1,Establish internal procedures to ensure compliance with open source licenses and regulations,
,,2,Invest in talent and resources to drive open source initiatives,
,,3,Source diverse talent from various successful Open Source projects and countries,
,,4,Keep regular communication and collaboration within and across teams and departments,
,,5,Give employees the freedom to innovate,
,,6,Maintain team motivation through constant recognition,
,,7,Establish clear metrics and KPIs to measure the success and impact of the OSPO,
,,8,Keep executive leadership and stakeholders informed about the progress and value of open source initiatives,
,,9,"Prepare courseware for onboarding, on-demand, and annual compliance trainings",
,,10,Work closely with the legal department to manage risks associated with open source licenses and intellectual property,
,,11,Identify and empower internal champions who can advocate for open source within their respective departments,
,,Text,Other (please specify),
,,,,
8,40,,"How often does your OSPO or similar open source initiative work on improving open source projects' sustainability? (select one response per row)
[Scales: Never, Rarely, Sometimes, Frequently, Always, DKNS]",rotate
,,1,Identifying community and project health risks,
,,2,"Advising the organization on the best ways to provide funding or launching related initiatives (e.g., contributor FOSS funds)",
,,3,Educating developers to contribute to Open Source projects,
,,4,Having policies in place to enable Open Source contributions,
,,5,Providing infrastructure for use on open source projects,
,,6,Providing employees time and/or an economic incentive to contribute to third-party open source projects,
,,Text,Other (please specify),
,,,,
9,,,Tell us about the plans to implement an OSPO or similar open source initiative,Show P9 if q12r3
,,,,
9,41,,When does your organization plan to start an OSPO or similar open source initiative? (select one),
,,1,In the next 6 months,
,,2,In the next year,
,,3,1 to 2 years from now,
,,4,More than 2 years from now,
,,0,Don't know or not sure,
,,,,
9,42,,How will the OSPO or similar open source initiative be formally structured? (select all that apply),
,,1,Dedicated staff,
,,2,Reporting structure,
,,3,New job titles,
,,Text,Other (please specify),
,,0,Don't know or not sure,
,,,,
9,43,,To which department will the OSPO or similar open source initiative report? (select one),
,,1,Legal,
,,2,Software engineering and development,
,,3,IT or computing services,
,,4,Office of the CTO or CIO,
,,5,"Developer relations, marketing, or communications",
,,6,"Security, compliance, or risk management",
,,7,Faculty committee,
,,8,Technology transfer / licensing office,
,,Text,Other (please specify),
,,0,Don't know or not sure,
,,,,
9,44,,"How impactful are the following benefits on your organization's decision to establish an OSPO or a similar open source initiative? (select one response per row)
[Scales: Not impactful at all, Slightly impactful, Moderately impactful, Very impactful, Extremely impactful, DKNS]",rotate
,,1,Increased developer recruitment and retention,
,,2,Faster development cycle and / or time to market with new products,
,,3,Better license compliance,
,,4,Lower licensing fees,
,,5,Lower support costs,
,,6,More influence in open source communities,
,,7,Increased contributions to in-house open source projects from external or third-party contributors,
,,8,More awareness of open source use and commercial dependencies,
,,9,Increased market adoption of open source projects,
,,10,Increased participation in external open source projects,
,,11,Increased transparency of collaboration,
,,12,Increased innovation,
,,13,"Culture change, with improved interaction among departments",
,,14,Better security testing and vulnerability management,
,,15,"Better compliance with government security regulations (e.g., GDPR, CRA, AI act, U.S. Government executive order on SBOM)",
,,Text,Other (please specify),
,,0,Don't know or not sure,
,,,,
9,45,,What have been the top three challenges in establishing an OSPO or similar open source initiative? (select up to three responses),rotate
,,1,Strategy: planning or knowing how to approach it,
,,2,Finding an open source program manager,
,,3,Finding legal staff with open source expertise,
,,4,Setting an open source policy,
,,5,Getting executive support and buy-in,
,,6,Getting engineering support and buy-in,
,,7,Setting a budget and estimating program costs,
,,8,Assessing or quantifying existing open source use and contribution,
,,9,Resources required to perform license compliance,
,,10,Finding commercial dependencies,
,,11,Tool selection,
,,12,Being able to comply with government policy,
,,13,Financially justifying the business model,
,,Text,Other (please specify),
,,0,Don't know or not sure,
,,,,
10,,,When an OSPO or similar open source initiative is not in the plans,Show P10 if q12r4
,,,,
10,46,,Why doesn't your organization have a plan to create an OSPO or similar open source initiative? (select all that apply),
,,1,"Used to have one, but it ended",
,,2,Have never heard of an open source program or OSPO,
,,3,Haven't considered it,
,,4,Don't use or participate in open source,
,,5,Organization is too small to need one,
,,6,Organization's open source use and participation is too small to need one,
,,7,Don't see the business value,
,,8,Don't want to regulate or standardize open source practices,
,,9,Time or resource constraints,
,,10,Want one but can't justify it,
,,Text,Other (please specify),
,,0,Don't know or not sure,
,,,,
10,47,,What are the top three ways your organization would benefit from an OSPO or similar open source initiative? (select up to three responses),rotate
,,1,Increased developer recruitment and retention,
,,2,Faster development cycle and / or time to market with new products,
,,3,Better license compliance,
,,4,Lower licensing fees,
,,5,Lower support costs,
,,6,More influence in open source communities,
,,7,Increased contributions to in-house open source projects from external or third-party contributors,
,,8,More awareness of open source use and commercial dependencies,
,,9,Increased market adoption of open source projects,
,,10,Increased participation in external open source projects,
,,11,Increased transparency of collaboration,
,,12,Increased innovation,
,,13,"Culture change, with improved interaction among departments",
,,14,Better security testing and vulnerability management,
,,15,"Better compliance with government security regulations (e.g., GDPR)",
,,Text,Other (please specify),
,,0,Don't know or not sure,
,,,,
,,,,
11,,,The survey is almost done,
,,,,
11,Text,,These last three questions are optional.,
,,,,
11,48,,What is the name of your organization? (this information will not be published),Not required
,,Textbox,Organization name,
,,,,
11,49,,"If you are interested in participating in an in-depth interview, please provide us with your name, email address, and the name of your organization.",Not required
,,Textbox,Name,
,,Textbox,Email address,
,,Textbox,Organization name,
,,,,
11,50,,"Are you interested in joining the Linux Foundation Research panel? Panel members will regularly be invited to complete Linux Foundation surveys. For each completed survey by a panel member, Linux Foundation Research will make a financial contribution to the Linux Foundation scholarship or travel fund. These funds help enable individuals to secure technical training and / or attend select Linux Foundation events who may not otherwise have the funds to do so. If you are interested in being a part of the Linux Foundation Research panel, please enter your email address in the textbox below. For information on the Travel Fund, see https://events.linuxfoundation.org/about/travel-fund-request/ and for information on the scholarship fund, see https://www.linuxfoundation.org/about/lift-scholarships",Not required
,,Textbox,Email address,
,,,,
,,,,
12,,,Thank you & reward,
,,,,
12,Text,,"Please make sure to press the ""Done"" button at the bottom of this page to complete the survey.

Thank you for completing this survey. TDS30 is a 30% discount code on any Linux Foundation e-learning training course or certification exam, as long as you register for a course before October 31, 2024. You can find the complete catalog of training and certifications at https://training.linuxfoundation.org/full-catalog/. This discount code is not valid for any other combination of THRIVE-ONE subscriptions or any FinOps courses & certifications.",
,,,,
,,,End of Survey,
,,,,
